Genome	Phylum	Class	Order	Family	Genus
GCF_000166035	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
GCF_000169015	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000169035	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000172135	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_000172175	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000173355	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Anaerococcus
GCF_000173815	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000174195	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
GCF_000177015	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000178935	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000185345	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
GCF_000185705	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
GCF_000185845	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
GCF_000186505	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
GCF_000186545	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_000187265	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_000187895	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000188175	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	NA
GCF_000188195	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	NA
GCF_000189615	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000190355	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_000191845	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
GCF_000192165	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000195635	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000204455	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_000205165	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
GCF_000209385	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000209405	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_000209425	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
GCF_000210095	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
GCF_000213555	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas
GCF_000213575	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas
GCF_000218325	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000218385	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_000218405	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000218465	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_000220865	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
GCF_000225705	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
GCF_000227195	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000227255	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
GCF_000231275	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_000233455	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000233495	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
GCF_000233955	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
GCF_000234155	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000235505	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000235885	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
GCF_000236865	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000238035	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	NA
GCF_000238615	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA
GCF_000238635	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000238655	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000238675	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_000238695	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
GCF_000238735	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
GCF_000238755	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
GCF_000239255	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
GCF_000239335	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_000241405	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
GCF_000242175	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000242435	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
GCF_000242955	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000243215	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
GCF_000244855	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
GCF_000245775	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas
GCF_000250875	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
GCF_000269565	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
GCF_000273525	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_000285495	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_000285515	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_000285535	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000285555	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
GCF_000285575	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000285835	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium
GCF_000296445	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia
GCF_000297775	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
GCF_000297815	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus
GCF_000308055	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GCF_000311725	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000311845	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000311865	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
GCF_000311925	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_000312005	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas
GCF_000312045	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
GCF_000312105	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA
GCF_000312125	Actinobacteria	Actinobacteria	Actinomycetales	Jonesiaceae	NA
GCF_000312145	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_000313565	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000315485	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000320405	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000321005	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Anaerococcus
GCF_000321025	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
GCF_000321045	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_000321165	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000321185	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000321205	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_000327285	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000345485	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000349975	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000381365	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000382465	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000398925	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000403725	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_000411235	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_000411255	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
GCF_000411275	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
GCF_000411295	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
GCF_000411335	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
GCF_000411395	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
GCF_000411415	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GCF_000411475	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_000411495	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
GCF_000411535	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
GCF_000412335	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_000413335	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium
GCF_000413355	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
GCF_000413375	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	NA
GCF_000438455	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA
GCF_000455245	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Nesterenkonia
GCF_000455265	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_000455285	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
GCF_000466385	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_000466605	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000468015	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
GCF_000469305	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000469345	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000478505	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
GCF_000479045	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000479265	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000499525	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000499785	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000507845	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000507865	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000523555	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000527275	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia
GCF_000527295	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia
GCF_000577335	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000582785	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus
GCF_000612625	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000723585	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_000741205	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_000750635	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_000751555	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000751675	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000752035	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000752215	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000752675	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000753355	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000763055	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_000820705	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000820725	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GCF_000821085	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_000821325	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
GCF_000826065	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA
GCF_000826085	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA
GCF_000826105	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
GCF_000826525	Actinobacteria	Actinobacteria	Actinomycetales	Dermatophilaceae	NA
GCF_000829905	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
GCF_000942395	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	NA
GCF_000969835	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
GCF_000969845	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
GCF_001025155	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_001025175	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_001025195	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_001049895	Firmicutes	Bacilli	NA	NA	NA
GCF_001050095	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
GCF_001078425	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_001182045	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
GCF_001182725	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Anaerococcus
GCF_001185345	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_001243045	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_001243895	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
GCF_001244405	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_001244495	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_001244735	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_001244995	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_001282625	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
GCF_001282665	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_001286805	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
GCF_001299475	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
GCF_001368795	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_001368835	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_001375495	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	NA
GCF_001375555	Firmicutes	Bacilli	NA	NA	NA
GCF_001375675	Firmicutes	Bacilli	NA	NA	NA
GCF_001403595	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
GCF_001403635	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_001403875	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_001407835	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Finegoldia
GCF_001433855	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_001435475	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_001435665	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_001457415	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_001457795	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
GCF_001457815	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	NA
GCF_001457835	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
GCF_001457875	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GCF_001458115	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_001486445	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_001486505	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_001486585	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_001486665	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_001487105	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_001487125	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
GCF_001487145	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Anaerococcus
GCF_001517625	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_001517665	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
GCF_001941425	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_900018785	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA
GCF_900021165	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_900021175	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_900046455	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA
GCF_900046475	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_900048895	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_900049755	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_900059565	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
GCF_900069005	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_900078195	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_900078305	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_900078545	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
GCF_900083545	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_900086585	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_900086625	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_900086655	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	NA
GCF_900086715	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
GCF_900087015	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_900091655	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
GCF_900091675	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
GCF_900091705	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_900092335	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
GCF_900095705	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_900095825	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
GCF_900095835	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
GCF_900095845	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_900095855	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
GCF_900095865	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_900095875	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
GCF_900107675	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_900119705	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
